token_symbol,token_address,chain_id,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
weETH,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,ethereum,Aave,lending,4654599956.0,0.0,aave-v3-ethereum-0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,Aave v3 weETH (ethereum)
wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,ethereum,Aave,lending,4235641011.0,0.0,aave-v3-ethereum-0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,Aave v3 wstETH (ethereum)
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,Aave,lending,2957191273.0,0.0,aave-v3-ethereum-0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Aave v3 WBTC (ethereum)
cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,ethereum,Aave,lending,1803137573.0,0.0,aave-v3-ethereum-0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,Aave v3 cbBTC (ethereum)
rsETH,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,ethereum,Aave,lending,1244105225.0,0.0,aave-v3-ethereum-0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,Aave v3 rsETH (ethereum)
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,ethereum,Aave,lending,977796964.0,0.0,aave-v3-ethereum-0xdac17f958d2ee523a2206206994597c13d831ec7,Aave v3 USDT (ethereum)
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,ethereum,Aave,lending,878160878.0,0.0,aave-v3-ethereum-0x9d39a5de30e57443bff2a8307a4256c8797a3497,Aave v3 sUSDe (ethereum)
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,Aave,lending,782088886.0,0.0,aave-v3-ethereum-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Aave v3 USDC (ethereum)
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,Aave,lending,696018165.0,0.0,aave-v3-ethereum-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Aave v3 WETH (ethereum)
USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,ethereum,Aave,lending,540397692.0,0.0,aave-v3-ethereum-0x4c9edd5852cd905f086c759e8383e09bff1e68b3,Aave v3 USDe (ethereum)
osETH,0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,ethereum,Aave,lending,383416457.0,0.0,aave-v3-ethereum-0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,Aave v3 osETH (ethereum)
PT-sUSDE-7MAY2026,0x3de0ff76e8b528c092d47b9dac775931cef80f49,ethereum,Aave,lending,380047020.0,0.0,aave-v3-ethereum-0x3de0ff76e8b528c092d47b9dac775931cef80f49,Aave v3 PT-sUSDE-7MAY2026 (ethereum)
RLUSD,0x8292bb45bf1ee4d140127049757c2e0ff06317ed,ethereum,Aave,lending,342619762.0,0.0,aave-v3-ethereum-0x8292bb45bf1ee4d140127049757c2e0ff06317ed,Aave v3 RLUSD (ethereum)
LBTC,0x8236a87084f8b84306f72007f36f2618a5634494,ethereum,Aave,lending,206285930.0,0.0,aave-v3-ethereum-0x8236a87084f8b84306f72007f36f2618a5634494,Aave v3 LBTC (ethereum)
