token_symbol,token_address,chain_id,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
kikl,0x65af368f69816d66541fadc43ccb075ace246dd2,base,Balancer,dex,11919125.115,0.0,0x83470106402ed0bc83f91bb13266d35bdb23f1b9,jujukiki
WETH,0x4200000000000000000000000000000000000006,base,Balancer,dex,11919125.115,0.0,0x83470106402ed0bc83f91bb13266d35bdb23f1b9,jujukiki
wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,ethereum,Balancer,dex,9227306.895,452648.79,0x3de27efa2f1aa663ae5d458857e731c129069f29000200000000000000000588,20wstETH-80AAVE
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,ethereum,Balancer,dex,9227306.895,452648.79,0x3de27efa2f1aa663ae5d458857e731c129069f29000200000000000000000588,20wstETH-80AAVE
GYD,0xe07f9d810a48ab5c3c914ba3ca53af14e4491e8a,ethereum,Balancer,dex,8609694.715,0.0,0xc8398feef7aa2a8638473ca6569af217448d080a0002000000000000000006f5,Gyroscope ECLP GYD/sUSDS
sUSDS,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,ethereum,Balancer,dex,8609694.715,0.0,0xc8398feef7aa2a8638473ca6569af217448d080a0002000000000000000006f5,Gyroscope ECLP GYD/sUSDS
waEthUSDC,0xd4fa2d31b7968e448877f69a96de69f5de8cd23e,ethereum,Balancer,dex,7172694.9366666665,44835899.72,0x85b2b559bc2d21104c4defdd6efca8a20343361d,Balancer Aave GHO/USDT/USDC
waEthUSDT,0x7bc3485026ac48b6cf9baf0a377477fff5703af8,ethereum,Balancer,dex,7172694.9366666665,44835899.72,0x85b2b559bc2d21104c4defdd6efca8a20343361d,Balancer Aave GHO/USDT/USDC
Aave Prime GHO,0xc71ea051a5f82c67adcf634c36ffe6334793d24c,ethereum,Balancer,dex,7172694.9366666665,44835899.72,0x85b2b559bc2d21104c4defdd6efca8a20343361d,Balancer Aave GHO/USDT/USDC
vgUSDC,0x8399c8fc273bd165c346af74a02e65f10e4fd78f,ethereum,Balancer,dex,6780974.37,0.0,0xae255db04ba78519f33871c557d8fd6bafdb83bd,Stream Surge xUSD-vgUSDC
xUSD,0xe2fc85bfb48c4cf147921fbe110cf92ef9f26f94,ethereum,Balancer,dex,6780974.37,0.0,0xae255db04ba78519f33871c557d8fd6bafdb83bd,Stream Surge xUSD-vgUSDC
WETH,0x4200000000000000000000000000000000000006,base,Balancer,dex,6321979.29,0.0,0x7eb68433938cda5fa79669162a59b8a1353bb73a,LBP test on Base Dynamic Price Liquidity Bootstrapping Pool
LBPT,0x7d0ca2fe510258573ec0f9daf8bf03ccc4caf998,base,Balancer,dex,6321979.29,0.0,0x7eb68433938cda5fa79669162a59b8a1353bb73a,LBP test on Base Dynamic Price Liquidity Bootstrapping Pool
fwstETH,0x2411802d8bea09be0af8fd8d08314a63e706b29c,ethereum,Balancer,dex,3929603.675,1289690.1,0x6b31a94029fd7840d780191b6d63fa0d269bd883,Balancer Surge Fluid wstETH-wETH
fWETH,0x90551c1795392094fe6d29b758eccd233cfaa260,ethereum,Balancer,dex,3929603.675,1289690.1,0x6b31a94029fd7840d780191b6d63fa0d269bd883,Balancer Surge Fluid wstETH-wETH
waBasGHO,0x88b1cd4b430d95b406e382c3cdbae54697a0286e,base,Balancer,dex,3668254.955,513197.29,0x7ab124ec4029316c2a42f713828ddf2a192b36db,Balancer Aave USDC-Aave GHO
waBasUSDC,0xc768c589647798a6ee01a91fde98ef2ed046dbd6,base,Balancer,dex,3668254.955,513197.29,0x7ab124ec4029316c2a42f713828ddf2a192b36db,Balancer Aave USDC-Aave GHO
waEthWETH,0x0bfc9d54fc184518a81162f8fb99c2eaca081202,ethereum,Balancer,dex,3575188.685,1888.76,0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,Balancer rETH - Aave WETH
rETH,0xae78736cd615f374d3085123a210448e74fc6393,ethereum,Balancer,dex,3575188.685,1888.76,0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,Balancer rETH - Aave WETH
BAL,0xba100000625a3754423978a60c9317c58a424e3d,ethereum,Balancer,dex,3044388.15,216159.37,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56000200000000000000000014,Balancer 80 BAL 20 WETH
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,Balancer,dex,3044388.15,216159.37,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56000200000000000000000014,Balancer 80 BAL 20 WETH
waArbUSDCn,0x7f6501d3b98ee91f9b9535e4b0ac710fb0f9e0bc,arbitrum,Balancer,dex,2014419.8,2423305.33,0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,Balancer Aave GHO/USDT/USDC
waArbGHO,0xd089b4cb88dacf4e27be869a00e9f7e2e3c18193,arbitrum,Balancer,dex,2014419.8,2423305.33,0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,Balancer Aave GHO/USDT/USDC
waArbUSDT,0xa6d12574efb239fc1d2099732bd8b5dc6306897f,arbitrum,Balancer,dex,2014419.8,2423305.33,0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,Balancer Aave GHO/USDT/USDC
tETH,0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,ethereum,Balancer,dex,1763401.22,289919.7,0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,Balancer Surge tETH-Lido wstETH
waEthLidowstETH,0x775f661b0bd1739349b9a2a3ef60be277c5d2d29,ethereum,Balancer,dex,1763401.22,289919.7,0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,Balancer Surge tETH-Lido wstETH
GYD,0xca5d8f8a8d49439357d3cf46ca2e720702f132b8,arbitrum,Balancer,dex,1527624.52,0.0,0x820b69fad931d4b4bf14e70ff234a8390f6a0658000200000000000000000547,Gyroscope ECLP GYD/AUSDC
waUSDCn,0x7cfadfd5645b50be87d546f42699d863648251ad,arbitrum,Balancer,dex,1527624.52,0.0,0x820b69fad931d4b4bf14e70ff234a8390f6a0658000200000000000000000547,Gyroscope ECLP GYD/AUSDC
osETH,0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,ethereum,Balancer,dex,1131914.525,70301.84,0x57c23c58b1d8c3292c15becf07c62c5c52457a42,Balancer osETH-waWETH
waEthWETH,0x0bfc9d54fc184518a81162f8fb99c2eaca081202,ethereum,Balancer,dex,1131914.525,70301.84,0x57c23c58b1d8c3292c15becf07c62c5c52457a42,Balancer osETH-waWETH
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,Balancer,dex,885481.06,22969.12,0xa6f548df93de924d73be7d25dc02554c6bd66db500020000000000000000000e,Balancer 50 WBTC 50 WETH
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,Balancer,dex,885481.06,22969.12,0xa6f548df93de924d73be7d25dc02554c6bd66db500020000000000000000000e,Balancer 50 WBTC 50 WETH
msUSD,0x4ba01f22827018b4772cd326c7627fb4956a7c00,ethereum,Balancer,dex,864645.92,220967.53,0x111ce2a60c30f6058a57d0dbae1a39a42d998826,MainStreet msUSD-USDC
