token_symbol,token_address,chain_id,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,ethereum,Curve,dex,118989343.85753629,0.0,0x83f24023d15d835a213df24fd309c47dAb5BEb32,YB cbBTC
DAI,0x6b175474e89094c44da98b954eedeac495271d0f,ethereum,Curve,dex,76068847.93218005,0.0,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,Curve.fi DAI/USDC/USDT
USDS,0xdc035d45d973e3ec169d2276ddab16f1e407384f,ethereum,Curve,dex,69731063.34446545,0.0,0xA632D59b9B804a956BfaA9b48Af3A1b74808FC1f,Spark.fi PYUSD Reserve
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,Curve,dex,62542438.562533,0.0,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,Curve.fi DAI/USDC/USDT
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,Curve,dex,60318681.639347024,0.0,0xD9FF8396554A0d18B2CFbeC53e1979b7ecCe8373,YB WBTC
tBTC,0x18084fba666a33d37592fa2633fd49a74dd93a88,ethereum,Curve,dex,59499027.48843198,0.0,0xf1F435B05D255a5dBdE37333C0f61DA6F69c6127,YB tBTC
crvUSD,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,ethereum,Curve,dex,58116394.86134296,0.0,0x83f24023d15d835a213df24fd309c47dAb5BEb32,YB cbBTC
DOLA,0x865377367054516e17014ccded1e7d814edc9ce4,ethereum,Curve,dex,54188854.43819967,0.0,0x744793B5110f6ca9cC7CDfe1CE16677c3Eb192ef,DOLA/sUSDe
stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,ethereum,Curve,dex,53457506.02048889,0.0,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,Curve.fi ETH/stETH
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,Curve,dex,50590804.576181,0.0,0xD001aE433f254283FeCE51d4ACcE8c53263aa186,RLUSD/USDC
ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ethereum,Curve,dex,46880604.14420935,0.0,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,Curve.fi ETH/stETH
sUSDS,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,ethereum,Curve,dex,44318554.28244149,0.0,0x00836Fe54625BE242BcFA286207795405ca4fD10,Spark.fi USDT Reserve
RLUSD,0x8292bb45bf1ee4d140127049757c2e0ff06317ed,ethereum,Curve,dex,40035690.2065313,0.0,0xD001aE433f254283FeCE51d4ACcE8c53263aa186,RLUSD/USDC
FRAX,0x853d955acef822db058eb8505911ed77f175b99e,ethereum,Curve,dex,39894443.018146046,0.0,0x5dc1BF6f1e983C0b21EfB003c105133736fA0743,FRAXUSDe
