token_symbol,token_address,chain_id,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
USR,0x66a1e37c9b0eaddca17d3662d6c05f4decf3e110,ethereum,Morpho,lending,1250005001.3500261,0.0,0x1dca6989b0d2b0a546530b3a739e91402eee2e1536a2d3ded4f5ce589a9cd1c2,BONDUSD/USR
BONDUSD,0x8413d2a624a9fa8b6d3ec7b22cf7f62e55d6bc83,ethereum,Morpho,lending,1250005001.3500261,0.0,0x1dca6989b0d2b0a546530b3a739e91402eee2e1536a2d3ded4f5ce589a9cd1c2,BONDUSD/USR
USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,base,Morpho,lending,589362070.1483222,0.0,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,cbBTC/USDC
cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,base,Morpho,lending,589362070.1483222,0.0,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,cbBTC/USDC
PAXG,0x45804880de22913dafe09f4980848ece6ecbaf78,ethereum,Morpho,lending,195450000.9435843,0.0,0x8eaf7b29f02ba8d8c1d7aeb587403dcb16e2e943e4e2f5f94b0963c2386406c9,PAXG/USDC
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,Morpho,lending,195450000.9435843,0.0,0x8eaf7b29f02ba8d8c1d7aeb587403dcb16e2e943e4e2f5f94b0963c2386406c9,PAXG/USDC
USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,arbitrum,Morpho,lending,165975314.85825682,0.0,0xfdb8221edcae73f73485d55c30e706906114bc2ff4634870c5c57e8fb83eae6a,K/USDC
K,0x010700ab046dd8e92b0e3587842080df36364ed3,arbitrum,Morpho,lending,165975314.85825682,0.0,0xfdb8221edcae73f73485d55c30e706906114bc2ff4634870c5c57e8fb83eae6a,K/USDC
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,Morpho,lending,149543323.15992373,0.0,0x64d65c9a2d91c36d56fbc42d69e979335320169b3df63bf92789e2c8883fcc64,cbBTC/USDC
cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,ethereum,Morpho,lending,149543323.15992373,0.0,0x64d65c9a2d91c36d56fbc42d69e979335320169b3df63bf92789e2c8883fcc64,cbBTC/USDC
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,ethereum,Morpho,lending,120344726.14038149,0.0,0x3274643db77a064abd3bc851de77556a4ad2e2f502f4f0c80845fa8f909ecf0b,sUSDS/USDT
