token_symbol,token_address,chain_id,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
ankrETH-wstETH BLP,0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba,ethereum,Pendle,yield,69886283954.5604,0.0,0xd547d9c74314f787affc587d101146e1663d046e,Pendle ankrETH-wstETH BLP
USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,ethereum,Pendle,yield,3364250806.279228,0.0,0x6d98a2b6cdbf44939362a3e99793339ba2016af4,Pendle USDe
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,ethereum,Pendle,yield,1608552726.5076623,0.0,0xa36b60a14a1a5247912584768c6e53e1a269a9f7,Pendle sUSDe
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,ethereum,Pendle,yield,1118296704.9644833,0.0,0xb6ac3d5da138918ac4e84441e924a20daa60dbdd,Pendle sUSDe
sUSDf,0xc8cf6d7991f15525488b2a83df53468d682ba4b0,ethereum,Pendle,yield,468133824.4343984,0.0,0x45f163e583d34b8e276445dd3da9ae077d137d72,Pendle sUSDf
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,ethereum,Pendle,yield,463748558.0031827,0.0,0xed81f8ba2941c3979de2265c295748a6b6956567,Pendle sUSDe
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,ethereum,Pendle,yield,437199208.27850366,0.0,0x8dae8ece668cf80d348873f23d456448e8694883,Pendle sUSDe
USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,ethereum,Pendle,yield,304697729.80878174,0.0,0x4eaa571eafcd96f51728756bd7f396459bb9b869,Pendle USDe
pUSDe,0xa62b204099277762d1669d283732dcc1b3aa96ce,ethereum,Pendle,yield,246654032.9563504,0.0,0xf4c449d6a2d1840625211769779ada42857d04dd,Pendle pUSDe
sUSDai,0x0b2b2b2076d95dda7817e785989fe353fe955ef9,arbitrum,Pendle,yield,210879904.90428776,0.0,0x2092fa5d02276b3136a50f3c2c3a6ed45413183e,Pendle sUSDai
srUSDe,0x3d7d6fdf07ee548b939a80edbc9b2256d0cdc003,ethereum,Pendle,yield,195717248.8418324,0.0,0xafb7d6d1e9bca5b675adc9b4f52f0cdfddec9654,Pendle srUSDe
USDai,0x0a1a1a107e45b7ced86833863f482bc5f4ed82ef,arbitrum,Pendle,yield,188343734.0977036,0.0,0x8e101c690390de722163d4dc3f76043bebbbcadd,Pendle USDai
