token_symbol,token_addresses,chains_list,chain_count,total_tvl_usd,total_volume_usd,total_pool_count,has_uniswap,uniswap_pool_count,has_curve,curve_pool_count,has_balancer,balancer_pool_count,has_aave,aave_reserve_count,has_morpho,morpho_market_count,has_pendle,pendle_market_count,dex_tvl_usd,dex_volume_usd,dex_pool_count,dex_protocol_count,lending_tvl_usd,yield_tvl_usd,protocol_count,venue_type_count,has_lending_and_yield,protocols_list,venue_types_list,top_dex_counterparts,source_count_with_symbol,symbol_confidence,has_complete_metadata,interest_score,shortlist_tier
sUSDe,"{""ethereum"": ""0x9d39a5de30e57443bff2a8307a4256c8797a3497"", ""arbitrum"": ""0x211cc4dd073734da055fbf44a2b4667d5e5fe5d2"", ""base"": ""0x211cc4dd073734da055fbf44a2b4667d5e5fe5d2""}","arbitrum, base, ethereum",3,4643258761.698251,6639521.18637,42,True,1,True,9,True,3,True,1,True,19,True,9,17330437.917794984,6639521.18637,13,3,997893271.6035829,3628035052.1768727,6,3,True,"Aave, Balancer, Curve, Morpho, Pendle, Uniswap","dex, lending, yield","GYROSCOPE ECLP SUSDE, GYD, USDT, REUSDE, SDAI",6,high,True,95.66,tier_1
weETH,"{""ethereum"": ""0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee"", ""arbitrum"": ""0x35751007a407ca6feffe80b3cb397736d2cf4dbe"", ""base"": ""0x04c0599ae5a44757c0af6f9ec3b93da8976c150a""}","arbitrum, base, ethereum",3,5044605050.72271,795620.87228,31,True,4,True,4,False,0,True,3,True,9,True,11,18730038.924382854,795620.87228,8,2,5018437798.524487,7437213.273841056,5,3,True,"Aave, Curve, Morpho, Pendle, Uniswap","dex, lending, yield","WETH, RSWETH, WEETH/WETH, NG, TETH",5,high,True,93.29,tier_1
USDe,"{""ethereum"": ""0x4c9edd5852cd905f086c759e8383e09bff1e68b3"", ""arbitrum"": ""0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34"", ""base"": ""0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34""}","arbitrum, base, ethereum",3,4368328887.542404,8256658.44653,27,True,5,True,8,False,0,True,1,True,3,True,10,19545863.936271906,8256658.44653,13,2,540602553.4888161,3808180470.117316,5,3,True,"Aave, Curve, Morpho, Pendle, Uniswap","dex, lending, yield","USDC, USDT, MNT, CRVUSD, FRAXUSDE",5,high,True,91.06,tier_1
tBTC,"{""ethereum"": ""0x6b6b870c7f449266a9f40f94eca5a6ff9b0857e4"", ""arbitrum"": ""0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40"", ""optimism"": ""0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40"", ""base"": ""0x236aa50979d5f3de3bd1eeb40e81137f22ab794b""}","arbitrum, base, ethereum, optimism",4,262482052.96519908,7791986.81334,26,True,8,True,10,True,1,True,3,True,3,True,1,77678591.61033951,7791986.81334,19,3,177297105.35248265,7506356.00237692,6,3,True,"Aave, Balancer, Curve, Morpho, Pendle, Uniswap","dex, lending, yield","WBTC, CBBTC, WETH, 2BTC, CURVE.FI TBTC",6,high,True,88.39,tier_1
cbBTC,"{""ethereum"": ""0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf"", ""base"": ""0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf"", ""arbitrum"": ""0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf""}","arbitrum, base, ethereum",3,2964702843.04309,66958012.148229994,46,True,13,True,7,True,2,True,2,True,22,False,0,162777248.88880646,66958012.148229994,22,3,2801925594.1542826,0.0,5,2,False,"Aave, Balancer, Curve, Morpho, Uniswap","dex, lending","WBTC, WETH, USDC, TBTC, PAXG",5,high,True,84.44,tier_1
rsETH,"{""ethereum"": ""0xa1290d69c65a6fe4df752f95823fae25cb99e5a7"", ""arbitrum"": ""0x4186bfc76e2e237523cbc30fd220fe055156b41f""}","arbitrum, ethereum",2,1314252501.274606,5462.47,16,True,1,True,1,True,1,True,2,True,1,True,10,1531751.7729576388,5462.47,3,3,1310875767.282879,1844982.2187694577,6,3,True,"Aave, Balancer, Curve, Morpho, Pendle, Uniswap","dex, lending, yield","WSTETH, WETH, BALANCER RSETH HGETH",6,high,True,84.3,tier_1
USDS,"{""arbitrum"": ""0xd74f5255d557944cf7dd0e45ff521520002d5748"", ""ethereum"": ""0xdc035d45d973e3ec169d2276ddab16f1e407384f""}","arbitrum, ethereum",2,133073002.43094261,1051.29421,20,True,1,True,2,False,0,True,1,True,15,True,1,73010059.34171721,1051.29421,3,2,60018217.91481267,44725.174412747474,5,3,True,"Aave, Curve, Morpho, Pendle, Uniswap","dex, lending, yield","USDC.E, SPARK.FI PYUSD RESERVE, STUSDS",5,high,True,80.8,tier_1
LBTC,"{""ethereum"": ""0x8236a87084f8b84306f72007f36f2618a5634494"", ""base"": ""0x53176cadd446700fa6b89f840357ac586d7e33db""}","base, ethereum",2,250582130.6141295,1307362.8158,17,True,2,True,1,False,0,True,2,True,9,True,3,3849763.3680632305,1307362.8158,3,2,239977364.3472077,6755002.898858573,5,3,True,"Aave, Curve, Morpho, Pendle, Uniswap","dex, lending, yield",WBTC,5,high,True,79.81,tier_1
LINK,"{""ethereum"": ""0x514910771af9ca656af840dff83e8264ecf986ca"", ""arbitrum"": ""0xf97f4df75117a78c1a5a0dbb814af92458539fb4"", ""polygon"": ""0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39"", ""optimism"": ""0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6""}","arbitrum, ethereum, optimism, polygon",4,124393436.07391089,3185638.05603,37,True,24,True,3,True,5,True,4,True,1,False,0,17702398.43840392,3185638.05603,32,3,106691037.63550697,0.0,5,2,False,"Aave, Balancer, Curve, Morpho, Uniswap","dex, lending","WETH, USDC, USDT, UNI, WMATIC",5,high,True,79.36,tier_1
syrupUSDC,"{""ethereum"": ""0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b"", ""base"": ""0x660975730059246a68521a3e2fbd4740173100f5"", ""arbitrum"": ""0x41ca7586cc1311807b4605fbb748a3b8862b42b5""}","arbitrum, base, ethereum",3,335357015.97530913,0.0,13,False,0,False,0,True,1,True,1,True,6,True,5,27250.025,0.0,1,1,290796482.53564394,44533283.41466514,4,3,True,"Aave, Balancer, Morpho, Pendle","dex, lending, yield","GYROSCOPE ECLP SYRUPUSDC, GYD",4,high,True,75.11,tier_1
