token_symbol,token_address,chain_id,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
WETH,0x4200000000000000000000000000000000000006,base,Uniswap,dex,55138520.5,106725017.5931,b99bcdf5-1350-4269-981e-0e9b5cccb007,WETH-USDC
USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,base,Uniswap,dex,55138520.5,106725017.5931,b99bcdf5-1350-4269-981e-0e9b5cccb007,WETH-USDC
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,Uniswap,dex,50667736.0,99359823.65479,665dc8bc-c79d-4800-97f7-304bf368e547,USDC-WETH
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,Uniswap,dex,50667736.0,99359823.65479,665dc8bc-c79d-4800-97f7-304bf368e547,USDC-WETH
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,ethereum,Uniswap,dex,37411299.0,30642444.47778,fc9f488e-8183-416f-a61e-4e5c571d4395,WETH-USDT
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,Uniswap,dex,37411299.0,30642444.47778,fc9f488e-8183-416f-a61e-4e5c571d4395,WETH-USDT
USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,arbitrum,Uniswap,dex,28258300.0,115598586.80609,a14bd201-764c-40a5-86b8-2928b2461232,WETH-USDC
WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arbitrum,Uniswap,dex,28258300.0,115598586.80609,a14bd201-764c-40a5-86b8-2928b2461232,WETH-USDC
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,Uniswap,dex,26857220.5,53426029.25218,d59a5728-d391-4989-86f6-a94e11e0eb3b,WBTC-WETH
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,Uniswap,dex,26857220.5,53426029.25218,d59a5728-d391-4989-86f6-a94e11e0eb3b,WBTC-WETH
WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arbitrum,Uniswap,dex,25417709.0,60284384.80223,bb7e9353-129f-4e01-b822-f4250d0abb8a,WBTC-WETH
WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,arbitrum,Uniswap,dex,25417709.0,60284384.80223,bb7e9353-129f-4e01-b822-f4250d0abb8a,WBTC-WETH
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,Uniswap,dex,24548852.5,1558169.30125,c5599b3a-ea73-4017-a867-72eb971301d1,WBTC-WETH
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,Uniswap,dex,24548852.5,1558169.30125,c5599b3a-ea73-4017-a867-72eb971301d1,WBTC-WETH
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,Uniswap,dex,15707794.5,27784228.54523,c0bbcf6c-9454-4773-a19f-c6486484c287,WBTC-CBBTC
