token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Exponent,yield,27873024.40055183,40560211.067022,BxbiZpzj32nrVGecFy8VQ1HohaW7ryhas1k9aiETDWdm,USX yield (solstice)
ONyc,5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,Exponent,yield,8457541.076900003,34147993.94995656,8QJRc12BDXHRLghZXFyPtYtAQeRwnZGKMJQa3G2NVQoC,ONyc yield (onrefinance)
xSOL,4sWNB8zGWHkh6UnmwiEtzNxL4XrN7uK9tosbESbJFfVs,Exponent,yield,5604375.597477348,26051721.661764,BeXAQ3tPcp86KfoTh6wWG2amdXwf3Nrq1EKCigLB62ME,xSOL yield (hylo)
eUSX,3ThdFZQKM6kRyVGLG48kaPg5TRMhYMKY1iCRa9xop1WC,Exponent,yield,4308318.251493605,8576723.209008804,rBbzpGk3PTX8mvQg95VWJ24EDgvxyDJYrEo9jtauvjP,eUSX yield (solstice)
eUSX,3ThdFZQKM6kRyVGLG48kaPg5TRMhYMKY1iCRa9xop1WC,Exponent,yield,1171221.5048823738,210459591.5610752,GhjqLUcaCrfH9s6bM5H9GvbWoDTYGsdXxVubP8J57cUr,eUSX yield (solstice)
USDC+,usd63SVWcKqLeyNHpmVhZGYAqfE5RHE8jwqjRA2ida2,Exponent,yield,525837.5625110145,2822003.1757583315,4fHSzB79bhiSNLZoX7NVBbsmi7BEQwFw3wQ8pfocNNRM,USDC+ yield (reflect)
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Exponent,yield,368858.649777,225863394.849134,31XQjgfV5PiF2yXEbyctpq7gZ1TALkC9JvygjiR8xJrB,USX yield (solstice)
hyUSD,5YMkXAYccHSGnHn9nob9xEvv6Pvka9DZWH7nTbotTu9E,Exponent,yield,285197.8927982312,1611840.988129,HUnytS4C2u7vtTidp3DRttXAURcVQxSmGSfNt1mCSFwh,hyUSD yield (hylo)
xSOL,4sWNB8zGWHkh6UnmwiEtzNxL4XrN7uK9tosbESbJFfVs,Exponent,yield,204600.171097,24093400.75135,DTvJUR2AfMi43y7JZbX1bLFNuvdvNzQ4ieXchNG4S2nD,xSOL yield (hylo)
sHYUSD,HnnGv3HrSqjRpgdFmx7vQGjntNEoex1SU4e9Lxcxuihz,Exponent,yield,69020.37425774413,40817628.67042159,6KA38SGYfKUZ8PR61Fyqs9LDP3ryAjDtXRrP2roAzGsF,sHYUSD yield (hylo)
ONyc,5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,Exponent,yield,53540.144069007125,58747252.688666016,68mFWWL25B5uGjpZJwJh84WnaDXyhjA68RN3R3hssPH5,ONyc yield (onrefinance)
hyUSD,5YMkXAYccHSGnHn9nob9xEvv6Pvka9DZWH7nTbotTu9E,Exponent,yield,34052.487598,15557171.066336,DB9ES8j5LydUThzbR8MMPyz25knfcyZK9y6UK92EdRjg,hyUSD yield (hylo)
BulkSOL,BULKoNSGzxtCqzwTvg5hFJg8fx6dqZRScyXe5LYMfxrn,Exponent,yield,30532.32324276535,52991.59521845464,scSc4o3AkRoW6uooY3M54GUstZnYb4fADieeWz8AYco,BulkSOL yield (bulk)
xSOL,4sWNB8zGWHkh6UnmwiEtzNxL4XrN7uK9tosbESbJFfVs,Exponent,yield,30510.472699,10768840.926361,Bq4LdHugNYDgUMWjrpi6zMGvXsuizeDKTaGrGfgqio3b,xSOL yield (hylo)
USD*,BenJy1n3WTx9mTjEvy63e8Q1j4RqUc6E4VBMz3ir4Wo6,Exponent,yield,26800.327164506853,35086449.71455665,6LFdMwQbKB4yYdDqJLFLJsfW75b6PWE6qqVCSWSvwWJ9,PT-USD*-19SEP25 (perena)
kUSDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Exponent,yield,25243.592930371455,572283.3513751245,wAJQw4xcFiDGDdFfKJfeBq4jGqxFm9d2tMgJYmvDrm8,PT-kUSDC-02JUL25 (kamino)
hyloSOL,hy1oXYgrBW6PVcJ4s6s2FKavRdwgWTXdfE69AxT7kPT,Exponent,yield,17009.146745833634,222900.27871310935,ALp9wB5jgWPjQ4s7kZ92FNZM5J9CXTbHBjEikSHftL4W,hyloSOL yield (hylo)
USD*,BenJy1n3WTx9mTjEvy63e8Q1j4RqUc6E4VBMz3ir4Wo6,Exponent,yield,15242.082733427937,33178316.476706494,gn42UHhp84UEZdLH3Ge6e9GbfzpPCz6gCu48mTMM6N6,PT-USD*-30APR25 (perena)
xSOL,4sWNB8zGWHkh6UnmwiEtzNxL4XrN7uK9tosbESbJFfVs,Exponent,yield,11572.485445,1301796.83815,8fKHbS6j89dDDbhXficGfdEP88Z4x3fFdsvB1VUNT5kH,xSOL yield (hylo)
jlUSDG,9fvHrYNw1A8Evpcj7X2yy4k4fT7nNHcA9L6UsamNHAif,Exponent,yield,10459.588399750264,331573.2654354536,3xqurc523hsH9zXuDb6pPAiK8z9N2gRiyFFAMpnbtGn4,jlUSDG yield (jupiter lend)
