token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
PRIME,3b8X44fLF9ooXaUm3hhSgjpmVs6rZZ3pPoGnGahc3Uu7,Kamino,lending,321979679.18826556,0.0,BUTND9T7Ux4KR8RAEgd4WoZwnP7xA279oA1y3iPVcvSh,PRIME (Figure Market)
SOL,So11111111111111111111111111111111111111112,Kamino,lending,252899925.3058377,0.0,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL (Main Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,186377563.91344696,0.0,9GJ9GBRwCp4pHmWrQ43L5xpc9Vykg7jnfwcFGN8FoHYu,USDC (Figure Market)
dSOL,Dso1bDeDjCQxTrWHqUUi63oBvV7Mdm6WaobLbQ7gnPQ,Kamino,lending,183345636.5075827,0.0,StGKGcLQoTsWzQ1tFY2bWqrdiuBhqdFE4niiAutQxQB,dSOL (Main Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,174884326.8694495,0.0,D6q6wuQSrifJKZYpR1M8R4YawnLDtDsMmWM1NbBmgJ59,USDC (Main Market)
PYUSD,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,Kamino,lending,112029077.6193939,0.0,2gc9Dm1eB6UgVYFBUN9bWks6Kes9PbWSaPaa9DqyvEiN,PYUSD (Main Market)
PYUSD,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,Kamino,lending,111365941.47707282,0.0,92qeAka3ZzCGPfJriDXrE7tiNqfATVCAM6ZjjctR3TrS,PYUSD (Maple Market)
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Kamino,lending,110055279.74788804,0.0,37Jk2zkz23vkAYBT66HM2gaqJuNg2nYLsCreQAVt5MWK,cbBTC (Main Market)
JupSOL,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,Kamino,lending,106430178.25395247,0.0,DGQZWCY17gGtBUgdaFs1VreJWsodkjFxndPsskwFKGpp,JupSOL (Main Market)
syrupUSDC,AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj,Kamino,lending,96630748.26131286,0.0,AwCyCPZYJSZ93xcVKNK7jR8e1BHzJXq1D4bReNuh9woY,syrupUSDC (Maple Market)
JITOSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,Kamino,lending,76915769.89745215,0.0,EVbyPKrHG6WBfm4dLxLMJpUDY43cCAcHSpV3KYjKsktW,JITOSOL (Main Market)
ONyc,5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,Kamino,lending,64095648.71370845,0.0,6ZxkBSJEqsXA3Kdm2PDAzHLUdPTPUK93Lf4bAezec1UQ,ONyc (OnRe Market)
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Kamino,lending,56463204.05048914,0.0,DdTmCCjv7zHRD1hJv3E8bpnSEQBzdKkzB1j9ApXX5QoP,JLP (JLP Market)
CASH,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,Kamino,lending,48876023.744186565,0.0,GCRm26EuqzHtH8U3zTsXMEnq864qAGkkcAjMBL4dw9XC,CASH (Figure Market)
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Kamino,lending,35466551.8241123,0.0,ESCkPWKHmgNE7Msf77n9yzqJd5kQVWWGy3o5Mgxhvavp,USDG (Main Market)
MSOL,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,Kamino,lending,29139667.225723527,0.0,FBSyPnxtHKLBZ4UeeUyAnbtFuAmTHLtso9YtsqRDRWpM,MSOL (Main Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,27438808.03083828,0.0,Ga4rZytCpq1unD4DbEJ5bkHeUz9g3oh9AAFEi6vSauXp,USDC (JLP Market)
xBTC,CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,Kamino,lending,23250042.81080153,0.0,4Hyrqb9Mq7y1wkq4YoqHkPdPx3VQyFY3mxMj67naC1Cb,xBTC (Main Market)
JITOSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,Kamino,lending,22098543.759712335,0.0,F9HdecRG8GPs9LEn4S5VfeJVEZVqrDJFR6bvmQTi22na,JITOSOL (Jito Market)
