token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,Meteora,dex,33973634.44872799,5384764.099140853,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,TRUMP-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,33973634.44872799,5384764.099140853,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,TRUMP-USDC
MELANIA,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,Meteora,dex,6708100.424796012,38524.30738728499,9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,MELANIA-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,6708100.424796012,38524.30738728499,9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,MELANIA-USDC
ANB,FkiJSGKDMjRip1MFKa4bxVUtZBA2hkpBHdTfEW8E4iQj,Meteora,dex,5998826.394884352,1109552.2974846407,6CnzQUJqFBdPUsB1XT7TPYUoKUn8NRML23SyNwwxAQr2,ANB-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,5998826.394884352,1109552.2974846407,6CnzQUJqFBdPUsB1XT7TPYUoKUn8NRML23SyNwwxAQr2,ANB-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,5955964.94492956,4672421.165187062,3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9,TRUMP-USDC
TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,Meteora,dex,5955964.94492956,4672421.165187062,3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9,TRUMP-USDC
USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Meteora,dex,5392912.313890673,18437.86091669853,AXXo7N2gcLeVyo8nDsN99UW8Fv6NCsa2DP21WD3SKtM3,FO-USDT
FO,JDzPbXboQYWVmdxXS3LbvjM52RtsV1QaSv2AzoCiai2o,Meteora,dex,5392912.313890673,18437.86091669853,AXXo7N2gcLeVyo8nDsN99UW8Fv6NCsa2DP21WD3SKtM3,FO-USDT
JupUSD,JuprjznTrTSp2UFa3ZBUFgwdAmtZCq4MQCwysN55USD,Meteora,dex,5022740.697604384,1255673.1529566888,DZ2vZJMLKt1cExzyFeyoGV3panTJufRFMiLXJKSa2mPP,JupUSD-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,5022740.697604384,1255673.1529566888,DZ2vZJMLKt1cExzyFeyoGV3panTJufRFMiLXJKSa2mPP,JupUSD-USDC
SOL,So11111111111111111111111111111111111111112,Meteora,dex,2466840.0737938243,13041401.23754363,BGm1tav58oGcsQJehL9WXBFXF7D27vZsKefj4xJKD5Y,SOL-USDC
