token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
SOL,So11111111111111111111111111111111111111112,Orca,dex,13827888.603839053,93859556.3489587,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,SOL/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,13827888.603839053,93859556.3489587,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,SOL/USDC
PYUSD,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,Orca,dex,12764598.620827839,46641048.9690976,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,PYUSD/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,12764598.620827839,46641048.9690976,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,PYUSD/USDC
syrupUSDC,AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj,Orca,dex,12614494.591167934,7606292.40593089,6fteKNvMdv7tYmBoJHhj1jx6rHcEwC6RdSEmVpyS613J,syrupUSDC/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,12614494.591167934,7606292.40593089,6fteKNvMdv7tYmBoJHhj1jx6rHcEwC6RdSEmVpyS613J,syrupUSDC/USDC
CASH,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,Orca,dex,9171142.866481965,9853389.91670885,3wijQvPKm6jHQrAkfPpok5o8WjCWPm1DGG17NmeW8q1w,CASH/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,9171142.866481965,9853389.91670885,3wijQvPKm6jHQrAkfPpok5o8WjCWPm1DGG17NmeW8q1w,CASH/USDC
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,7719419.505348319,14566076.0988608,9RqDTfwCx2SgxsvKpspQHc38HUo3B6hRd3oR9JR966Ps,USDG/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,7719419.505348319,14566076.0988608,9RqDTfwCx2SgxsvKpspQHc38HUo3B6hRd3oR9JR966Ps,USDG/USDC
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Orca,dex,5732784.920660307,4712984.41167541,2e3WeM4WwdEqwTtRnWN3gJSbhNg1P6Aj2y7kEdfrYbix,USX/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,5732784.920660307,4712984.41167541,2e3WeM4WwdEqwTtRnWN3gJSbhNg1P6Aj2y7kEdfrYbix,USX/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,3265165.6841699095,10347244.0567353,HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,SOL/whETH
whETH,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,Orca,dex,3265165.6841699095,10347244.0567353,HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,SOL/whETH
SOL,So11111111111111111111111111111111111111112,Orca,dex,2576868.7195517933,2185415.82954951,CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,SOL/cbBTC
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Orca,dex,2576868.7195517933,2185415.82954951,CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,SOL/cbBTC
ONyc,5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,Orca,dex,2487319.7958717886,5775897.24379236,7jhhyxPUKpu42hPGSYwgMXbR2dtVJHKhs8DW3sAAgAvX,ONyc/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,2487319.7958717886,5775897.24379236,7jhhyxPUKpu42hPGSYwgMXbR2dtVJHKhs8DW3sAAgAvX,ONyc/USDC
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Orca,dex,2405280.4099099506,12026758.9966411,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,cbBTC/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,2405280.4099099506,12026758.9966411,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,cbBTC/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,2232004.9545312617,2286187.45208594,5KqohoeGjTjyHAFJJywK4J7fkFuK82PfMyuseGgLKZu2,SOL/USDG
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,2232004.9545312617,2286187.45208594,5KqohoeGjTjyHAFJJywK4J7fkFuK82PfMyuseGgLKZu2,SOL/USDG
USDY,A1KLoBrKBde8Ty9qtNQUtq3C2ortoC3u7twggz7sEto6,Orca,dex,2135328.221681209,138.015851156874,7riFsDxbskTqDtCSjev2jN9hyAJqeKmbWqgfiWD6ikUC,USDY/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,2135328.221681209,138.015851156874,7riFsDxbskTqDtCSjev2jN9hyAJqeKmbWqgfiWD6ikUC,USDY/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,1966885.4279672762,1380219.32559127,Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,SOL/JitoSOL
JitoSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,Orca,dex,1966885.4279672762,1380219.32559127,Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,SOL/JitoSOL
USDu,9ckR7pPPvyPadACDTzLwK2ZAEeUJ3qGSnzPs8bVaHrSy,Orca,dex,1680634.5409444412,48917.1691415676,94BpFoyri4uTT55NFSHKYNFyUMtoWXEisMA4LK7nTKPU,USDu/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,1680634.5409444412,48917.1691415676,94BpFoyri4uTT55NFSHKYNFyUMtoWXEisMA4LK7nTKPU,USDu/USDC
PST,59obFNBzyTBGowrkif5uK7ojS58vsuWz3ZCvg6tfZAGw,Orca,dex,1678077.1673771385,994120.893668422,FCdB84kbytrT8JHsWLrWxPoquetmtcF1NZw7LYcgrQJE,PST/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,1678077.1673771385,994120.893668422,FCdB84kbytrT8JHsWLrWxPoquetmtcF1NZw7LYcgrQJE,PST/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,1361986.2394811506,3715418.03243003,6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,SOL/JLP
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Orca,dex,1361986.2394811506,3715418.03243003,6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,SOL/JLP
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,1257369.3391300784,96053.121981998,9goWMLg5ZxayhTinjtfNQLCZg2VBzdwERqHqP5tYSP9Z,USDG/syrupUSDC
syrupUSDC,AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj,Orca,dex,1257369.3391300784,96053.121981998,9goWMLg5ZxayhTinjtfNQLCZg2VBzdwERqHqP5tYSP9Z,USDG/syrupUSDC
eUSX,3ThdFZQKM6kRyVGLG48kaPg5TRMhYMKY1iCRa9xop1WC,Orca,dex,1176679.385092465,1337594.66071151,AUr5EVRwGDsKB2EeS1V63ncjHXDNRDLVfBP47qNvPoVf,eUSX/USX
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Orca,dex,1176679.385092465,1337594.66071151,AUr5EVRwGDsKB2EeS1V63ncjHXDNRDLVfBP47qNvPoVf,eUSX/USX
SOL,So11111111111111111111111111111111111111112,Orca,dex,1169248.0518591246,123066.523827457,FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,SOL/PENGU
PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,Orca,dex,1169248.0518591246,123066.523827457,FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,SOL/PENGU
SOL,So11111111111111111111111111111111111111112,Orca,dex,1121111.4666931788,1856165.30930047,BofA2ViUSudPBTUms2KRuG6AHNeMawjNfwqTJDgx5BKW,SOL/PUMP
PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,Orca,dex,1121111.4666931788,1856165.30930047,BofA2ViUSudPBTUms2KRuG6AHNeMawjNfwqTJDgx5BKW,SOL/PUMP
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,1072364.2203116715,568283.820111076,EbGwM46wxy7EYuwhYrLN1UQPpG15FoEamQvzdMPJLwP6,USDG/xBTC
xBTC,CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,Orca,dex,1072364.2203116715,568283.820111076,EbGwM46wxy7EYuwhYrLN1UQPpG15FoEamQvzdMPJLwP6,USDG/xBTC
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,930736.2574998133,14021.5830937115,J6h5bf3iohBXtsRNRFAqFc5FeBCh3yAjxXGuiE1sTc5Q,USDG/USX
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Orca,dex,930736.2574998133,14021.5830937115,J6h5bf3iohBXtsRNRFAqFc5FeBCh3yAjxXGuiE1sTc5Q,USDG/USX
SOL,So11111111111111111111111111111111111111112,Orca,dex,889215.717939176,38192.9752687031,3XLkRVg69AgwKAbnSjJpm3PB4QgVeXFEjiXfw5shWMBT,SOL/PSOL
PSOL,pSo1f9nQXWgXibFtKf7NWYxb5enAM4qfP6UJSiXRQfL,Orca,dex,889215.717939176,38192.9752687031,3XLkRVg69AgwKAbnSjJpm3PB4QgVeXFEjiXfw5shWMBT,SOL/PSOL
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Orca,dex,735470.9926074172,3658703.7468907,4v8ufj8Hj7UvFgtofQJAtzUud5xomwZfEqfCTHZ4wM72,cbBTC/WBTC
WBTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,Orca,dex,735470.9926074172,3658703.7468907,4v8ufj8Hj7UvFgtofQJAtzUud5xomwZfEqfCTHZ4wM72,cbBTC/WBTC
SOL,So11111111111111111111111111111111111111112,Orca,dex,721433.4906968371,1871153.50233712,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,SOL/Fartcoin 
Fartcoin ,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Orca,dex,721433.4906968371,1871153.50233712,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,SOL/Fartcoin 
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Orca,dex,711944.538915297,1358065.22704303,HD8i7qr1hd9ida6sN71RbkLxbWcbvZS4NA5CY6vfcDpj,JLP/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,711944.538915297,1358065.22704303,HD8i7qr1hd9ida6sN71RbkLxbWcbvZS4NA5CY6vfcDpj,JLP/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,704707.5390171488,1255650.20471086,B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,SOL/WBTC
