token_mint,token_symbol,total_tvl_usd,total_volume_usd,total_pool_count,has_orca,orca_pool_count,has_raydium,raydium_pool_count,has_meteora,meteora_pool_count,has_kamino,kamino_reserve_count,has_exponent,exponent_market_count,dex_tvl_usd,dex_volume_usd,dex_pool_count,dex_protocol_count,lending_tvl_usd,yield_tvl_usd,protocol_count,venue_type_count,has_lending_and_yield,protocols_list,venue_types_list,top_dex_counterparts,source_count_with_symbol,symbol_confidence,has_complete_metadata,interest_score,shortlist_tier
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,121234120.38511747,28656692.59500303,40,True,14,True,13,True,11,True,2,False,0,11043908.44253724,28656692.595003027,38,3,110190211.94258024,0.0,4,2,False,"Kamino, Meteora, Orca, Raydium","dex, lending","IVAN, cbBTC-USDC, SOL, JLP, cbBTC-SOL",4,high,True,84.95,tier_1
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JitoSOL,104873581.24383253,3637317.168541823,37,True,20,True,11,True,4,True,2,False,0,5699564.207158066,3637317.168541823,35,3,99174017.03667447,0.0,4,2,False,"Kamino, Meteora, Orca, Raydium","dex, lending","JTO, USDC, bSOL, SOL, ezSOL",4,high,True,84.65,tier_1
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,65121973.04794128,10806167.049589053,29,True,12,True,4,True,11,True,2,False,0,4931338.146059511,10806167.049589053,27,3,60190634.90188177,0.0,4,2,False,"Kamino, Meteora, Orca, Raydium","dex, lending","JLP-SOL, JLP-USDC, SOL, USDC, cbBTC",4,high,True,83.68,tier_1
6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,USX,60310214.57748945,271618086.2569394,8,True,3,True,2,False,0,True,1,True,2,12509393.928267926,5194480.340783408,5,2,19558937.5988927,28241883.05032883,4,3,True,"Exponent, Kamino, Orca, Raydium","dex, lending, yield","USDC, eUSX, USDG",4,high,True,81.52,tier_1
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,19268956.295870107,8656990.61018276,289,True,3,True,281,True,3,True,2,False,0,18529557.07286141,8656990.61018276,287,3,739399.2230087032,0.0,4,2,False,"Kamino, Meteora, Orca, Raydium","dex, lending","USD, WSOL, ONE, USD2, USDC",4,high,True,81.2,tier_1
5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,ONyc,76675406.2632458,105000342.78207952,7,True,3,True,1,False,0,True,1,True,2,4041259.439183028,12105096.14345695,4,2,64123065.60309377,8511081.22096901,4,3,True,"Exponent, Kamino, Orca, Raydium","dex, lending, yield","USDC, JitoSOL, USD*, USDG",4,high,True,81.01,tier_1
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,1454337.1129031302,2584566.5858823764,26,True,6,True,8,True,10,True,2,False,0,1381317.469334072,2584566.5858823764,24,3,73019.64356905833,0.0,4,2,False,"Kamino, Meteora, Orca, Raydium","dex, lending","IVAN, JUP-SOL, USDC, SOL, JUP-USDC",4,high,True,75.93,tier_1
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Bonk,2123934.7171749775,995364.9626585564,19,True,5,True,9,True,3,True,2,False,0,1187896.6111794647,995364.9626585564,17,3,936038.1059955128,0.0,4,2,False,"Kamino, Meteora, Orca, Raydium","dex, lending","SOL, USDC, IVAN, WSOL, compassSOL",4,high,True,75.7,tier_1
3ThdFZQKM6kRyVGLG48kaPg5TRMhYMKY1iCRa9xop1WC,eUSX,13125065.720502561,220955821.5599617,5,True,1,True,1,False,0,True,1,True,2,1909282.4742354094,1919506.7898776948,2,2,5736243.489891173,5479539.756375979,4,3,True,"Exponent, Kamino, Orca, Raydium","dex, lending, yield",USX,4,high,True,75.41,tier_1
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin,4507342.9488982,3219864.5319096697,16,True,5,True,7,True,3,True,1,False,0,4316690.780687697,3219864.5319096697,15,3,190652.16821050248,0.0,4,2,False,"Kamino, Meteora, Orca, Raydium","dex, lending","USDC, WSOL, Fartcoin-SOL, SOL, testicle",4,high,True,74.24,tier_1
